c4 c6	A11	English Opening: Caro-Kann Defensive System
e4 c6	B10	Caro-Kann Defense
e4 c6 Bc4	B10	Caro-Kann Defense: Hillbilly Attack
e4 c6 Bc4 d5 Bb3 dxe4 Qh5	B10	Caro-Kann Defense: Hillbilly Attack, Schaeffer Gambit
e4 c6 Nc3	B10	Caro-Kann Defense
e4 c6 Nc3 d5	B10	Caro-Kann Defense
e4 c6 Nc3 d5 Nf3	B10	Caro-Kann Defense: Two Knights Attack
e4 c6 Nc3 d5 Nf3 Bg4	B11	Caro-Kann Defense: Two Knights Attack, Mindeno Variation
e4 c6 Nc3 d5 Nf3 Bg4 h3 Bh5	B11	Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Retreat Line
e4 c6 Nc3 d5 Nf3 Bg4 h3 Bxf3	B11	Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Exchange Line
e4 c6 Nc3 d5 Nf3 dxe4 Ng5	B10	Caro-Kann Defense: Hector Gambit
e4 c6 Nc3 d5 Qf3	B10	Caro-Kann Defense: Goldman Variation
e4 c6 Nc3 d5 d3 dxe4 Bg5	B10	Caro-Kann Defense: Scorpion-Horus Gambit
e4 c6 Nc3 d5 h3	B10	Caro-Kann Defense: St. Patrick's Attack
e4 c6 Nf3 d5 d3	B10	Caro-Kann Defense: Endgame Offer
e4 c6 Nf3 d5 d3 dxe4 Ng5	B10	Caro-Kann Defense: Dinic Gambit
e4 c6 Nf3 d5 d3 dxe4 dxe4 Qxd1+ Kxd1	B10	Caro-Kann Defense: Endgame Variation
e4 c6 Nf3 d5 exd5 cxd5 Ne5	B10	Caro-Kann Defense: Apocalypse Attack
e4 c6 b3	B10	Caro-Kann Defense: Euwe Attack
e4 c6 b4	B10	Caro-Kann Defense: Labahn Attack
e4 c6 b4 d5 b5	B10	Caro-Kann Defense: Labahn Attack, Double Gambit
e4 c6 b4 e5 Bb2	B10	Caro-Kann Defense: Labahn Attack, Polish Variation
e4 c6 c4	B10	Caro-Kann Defense: Accelerated Panov Attack
e4 c6 c4 d5	B10	Caro-Kann Defense: Accelerated Panov Attack
e4 c6 c4 d5 cxd5 cxd5 Qb3	B10	Caro-Kann Defense: Accelerated Panov Attack, Van Weersel Attack
e4 c6 c4 d5 e5	B10	Caro-Kann Defense: Toikkanen Gambit
e4 c6 c4 d5 exd5 Qxd5	B10	Caro-Kann Defense: Accelerated Panov Attack, Pseudo-Scandinavian
e4 c6 c4 d5 exd5 cxd5 cxd5 Nf6	B10	Caro-Kann Defense: Accelerated Panov Attack, Modern Variation
e4 c6 c4 e5	B10	Caro-Kann Defense: Accelerated Panov Attack, Open Variation
e4 c6 d3	B10	Caro-Kann Defense: Breyer Variation
e4 c6 d3 d5 Nd2 g6 Ngf3 Bg7 g3 e5 Bg2 Ne7 O-O O-O b4	B10	Caro-Kann Defense: Breyer Variation, Stein Attack
e4 c6 d4	B12	Caro-Kann Defense
e4 c6 d4 Na6	B12	Caro-Kann Defense: De Bruycker Defense
e4 c6 d4 Na6 Nc3 Nc7	B12	Caro-Kann Defense: De Bruycker Defense
e4 c6 d4 Nf6	B12	Caro-Kann Defense: Masi Variation
e4 c6 d4 d5	B12	Caro-Kann Defense
e4 c6 d4 d5 Bd3 Nf6 e5 Nfd7 e6	B12	Caro-Kann Defense: Mieses Attack, Landau Gambit
e4 c6 d4 d5 Be3	B12	Caro-Kann Defense: Mieses Gambit
e4 c6 d4 d5 Nc3	B15	Caro-Kann Defense
e4 c6 d4 d5 Nc3 Nf6	B15	Caro-Kann Defense: Campomanes Attack
e4 c6 d4 d5 Nc3 b5	B15	Caro-Kann Defense: Gurgenidze Counterattack
e4 c6 d4 d5 Nc3 dxe4	B15	Caro-Kann Defense
e4 c6 d4 d5 Nc3 dxe4 Bc4	B15	Caro-Kann Defense: von Hennig Gambit
e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nd7 Nf3 Ngf6 Ng3	B17	Caro-Kann Defense: Karpov Variation, Modern Variation, Kasparov Attack
e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nf6 Bd3	B15	Caro-Kann Defense: Alekhine Gambit
e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nf6 Ng5 h6 Nxf7	B15	Caro-Kann Defense: Alien Gambit
e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nf6 Nxf6+ exf6	B15	Caro-Kann Defense: Tartakower Variation
e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nf6 Nxf6+ exf6 Bc4	B15	Caro-Kann Defense: Forgacs Variation
e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nf6 Nxf6+ exf6 c3 Bd6 Bd3 O-O Qc2 h6	B15	Caro-Kann Defense: Tartakower Variation, Perlis Line
e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nf6 Nxf6+ gxf6	B16	Caro-Kann Defense: Bronstein-Larsen Variation
e4 c6 d4 d5 Nc3 dxe4 f3	B15	Caro-Kann Defense: Rasa-Studier Gambit
e4 c6 d4 d5 Nc3 g6	B15	Caro-Kann Defense: Gurgenidze System
e4 c6 d4 d5 Nd2	B12	Caro-Kann Defense: Modern Variation
e4 c6 d4 d5 Nd2 Qb6	B12	Caro-Kann Defense: Edinburgh Variation
e4 c6 d4 d5 Nd2 dxe4 Nxe4	B15	Caro-Kann Defense: Main Line
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Bf5	B18	Caro-Kann Defense: Classical Variation
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Bf5 Ng3 Bg6 Nh3	B18	Caro-Kann Defense: Classical Variation, Flohr Variation
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Bf5 Ng3 Bg6 f4	B18	Caro-Kann Defense: Classical Variation, Maróczy Attack
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Bf5 Ng3 Bg6 h4	B18	Caro-Kann Defense: Classical Variation, Main Line
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Bf5 Ng3 Bg6 h4 h6 Nf3 Nd7	B19	Caro-Kann Defense: Classical Variation
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Bf5 Ng3 Bg6 h4 h6 Nf3 Nd7 h5	B19	Caro-Kann Defense: Classical Variation, Spassky Variation
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Bf5 Ng3 Bg6 h4 h6 Nf3 Nd7 h5 Bh7 Bd3 Bxd3 Qxd3 Ngf6 Bd2 e6 O-O-O Bd6	B19	Caro-Kann Defense: Classical Variation, Seirawan Variation
